Language,Career Goals,Current Skills
Python,"Build robust, scalable systems",Intermediate in Python
Ruby,Rapidly develop prototypes for clients,Intermediate in Ruby
Java,Develop enterprise applications,Intermediate in Java
JavaScript,Develop interactive websites and applications,Intermediate in JavaScript
Go,"Build fast, efficient software",Intermediate in Go
Kotlin,Build Android applications quickly,Intermediate in Kotlin
Rust,Develop systems with strict safety guarantees,Intermediate in Rust
Swift,Develop iOS applications,Intermediate in Swift
PHP,Build dynamic web applications,Intermediate in PHP
C#,Develop Windows applications,Intermediate in C#
C++,C++ Analyst,Intermediate in C++
C,OS Designing,Intermediate in C
